Round,Num.,Drafted By,Player,Pos,Drafted From,GP,G,A,Pts,PIM,Last Season
1.0,1.0,Toronto,Auston Matthews,C,Zurich SC [Swiss-A],482.0,302.0,243.0,545.0,94.0,2023-24
1.0,2.0,Winnipeg,Patrik Laine,L,Tappara Tampere [SM-liiga],463.0,199.0,181.0,380.0,179.0,2023-24
1.0,3.0,Columbus,Pierre-Luc Dubois,C,Cape Breton Screaming Eagles [QMJHL],435.0,129.0,173.0,302.0,385.0,2023-24
1.0,4.0,Edmonton,Jesse Puljujarvi,R,Karpat [SM-liiga],334.0,51.0,63.0,114.0,108.0,2022-23
1.0,5.0,Vancouver,Olli Juolevi,D,London Knights [OHL],41.0,2.0,1.0,3.0,6.0,2021-22
1.0,6.0,Calgary,Matthew Tkachuk,L,London Knights [OHL],511.0,192.0,299.0,491.0,548.0,2023-24
1.0,7.0,Arizona,Clayton Keller,R,U.S. National Development Team [USHL],443.0,133.0,211.0,344.0,171.0,2023-24
1.0,8.0,Buffalo,Alexander Nylander,L,Mississauga Steelheads [OHL],93.0,14.0,20.0,34.0,20.0,2022-23
1.0,9.0,Montreal,Mikhail Sergachev,D,Windsor Spitfires [OHL],442.0,46.0,193.0,239.0,268.0,2023-24
1.0,10.0,Colorado,Tyson Jost,C,Penticton Vees [BCHL],413.0,54.0,80.0,134.0,154.0,2022-23
1.0,11.0,Ottawa,Logan Brown,C,Windsor Spitfires [OHL],99.0,7.0,19.0,26.0,22.0,2022-23
1.0,12.0,New Jersey,Michael McLeod,C,Mississauga Steelheads [OHL],244.0,19.0,47.0,66.0,154.0,2023-24
1.0,13.0,Carolina,Jake Bean,D,Calgary Hitmen [WHL],126.0,10.0,34.0,44.0,44.0,2023-24
1.0,14.0,Boston,Charlie McAvoy,D,Boston University [H-East],381.0,41.0,189.0,230.0,297.0,2023-24
1.0,15.0,Minnesota,Luke Kunin,C,U. of Wisconsin [Big-10],283.0,51.0,55.0,106.0,249.0,2023-24
1.0,16.0,Arizona,Jakob Chychrun,D,Sarnia Sting [OHL],386.0,62.0,113.0,175.0,248.0,2023-24
1.0,17.0,Nashville,Dante Fabbro,D,Penticton Vees [BCHL],254.0,13.0,46.0,59.0,135.0,2023-24
1.0,18.0,Winnipeg,Logan Stanley,D,Windsor Spitfires [OHL],114.0,3.0,17.0,20.0,91.0,2022-23
1.0,19.0,NY Islanders,Kieffer Bellows,L,U.S. National Development Team [USHL],95.0,14.0,14.0,28.0,31.0,2022-23
1.0,20.0,Detroit,Dennis Cholowski,D,Chilliwack Chiefs [BCHL],117.0,10.0,20.0,30.0,28.0,2022-23
1.0,21.0,Carolina,Julien Gauthier,R,Val d'Or Foreurs [QMJHL],153.0,14.0,18.0,32.0,36.0,2022-23
1.0,22.0,Philadelphia,German Rubtsov,C,Russia U-18 team,4.0,0.0,0.0,0.0,0.0,2019-20
1.0,23.0,Florida,Henrik Borgstrom,C,HIFK Juniors (Finland),111.0,13.0,13.0,26.0,28.0,2022-23
1.0,24.0,Anaheim,Max Jones,L,London Knights [OHL],206.0,26.0,21.0,47.0,178.0,2022-23
1.0,25.0,Dallas,Riley Tufte,L,Fargo Force [USHL],13.0,1.0,0.0,1.0,4.0,2022-23
1.0,26.0,St. Louis,Tage Thompson,C,U. of Connecticut [H-East],302.0,103.0,94.0,197.0,125.0,2023-24
1.0,27.0,Tampa Bay,Brett Howden,C,Moose Jaw Warriors [WHL],280.0,31.0,52.0,83.0,135.0,2023-24
1.0,28.0,Washington,Lucas Johansen,D,Kelowna Rockets [WHL],4.0,0.0,1.0,1.0,0.0,2023-24
1.0,29.0,Boston,Trent Frederic,C,U.S. National Development Team [USHL],199.0,30.0,25.0,55.0,194.0,2023-24
1.0,30.0,Anaheim,Sam Steel,C,Regina Pats [WHL],263.0,34.0,59.0,93.0,70.0,2023-24
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2.0,31.0,Toronto,Egor Korshkov,L,Yaroslavl Lokomotiv [KHL],1.0,1.0,0.0,1.0,0.0,2019-20
2.0,32.0,Edmonton,Tyler Benson,L,Vancouver Giants [WHL],38.0,1.0,2.0,3.0,18.0,2022-23
2.0,33.0,Buffalo,Rasmus Asplund,C,Farjestads BK Karlstad [SweHL],183.0,18.0,31.0,49.0,20.0,2022-23
2.0,34.0,Columbus,Andrew Peeke,D,Green Bay Gamblers [USHL],196.0,9.0,25.0,34.0,90.0,2023-24
2.0,35.0,St. Louis,Jordan Kyrou,C,Sarnia Sting [OHL],253.0,83.0,112.0,195.0,66.0,2023-24
2.0,36.0,Philadelphia,Pascal Laberge,C,Victoriaville Tigres [QMJHL],,,,,,
2.0,37.0,Tampa Bay,Libor Hajek,D,Saskatoon Blades [WHL],110.0,4.0,8.0,12.0,40.0,2022-23
2.0,38.0,Florida,Adam Mascherin,L,Kitchener Rangers [OHL],,,,,,
2.0,39.0,Chicago,Alex DeBrincat,R,Erie Otters [OHL],451.0,188.0,186.0,374.0,112.0,2023-24
2.0,40.0,Colorado,Cameron Morrison,L,Youngstown Phantoms [USHL],,,,,,
2.0,41.0,New Jersey,Nathan Bastian,R,Mississauga Steelheads [OHL],164.0,24.0,22.0,46.0,127.0,2023-24
2.0,42.0,Ottawa,Jonathan Dahlen,C,Timra IK [Swe-1],61.0,12.0,10.0,22.0,12.0,2021-22
2.0,43.0,Carolina,Janne Kuokkanen,C,Karpat Jrs (Finland),119.0,14.0,28.0,42.0,28.0,2021-22
2.0,44.0,Tampa Bay,Boris Katchouk,L,Soo Greyhounds [OHL],119.0,8.0,15.0,23.0,66.0,2023-24
2.0,45.0,Chicago,Chad Krys,D,U.S. National Development Team [USHL],,,,,,
2.0,46.0,Detroit,Givani Smith,R,Guelph Storm [OHL],120.0,8.0,10.0,18.0,210.0,2023-24
2.0,47.0,Nashville,Samuel Girard,D,Shawinigan Cataractes [QMJHL],417.0,28.0,153.0,181.0,83.0,2023-24
2.0,48.0,Philadelphia,Carter Hart,G,Everett Silvertips [WHL],202.0,0.0,2.0,2.0,2.0,2023-24
2.0,49.0,Boston,Ryan Lindgren,D,U.S. National Development Team [USHL],258.0,7.0,56.0,63.0,183.0,2023-24
2.0,50.0,Chicago,Artur Kayumov,L,Russia U-18 Team,,,,,,
2.0,51.0,Los Angeles,Kale Clague,D,Brandon Wheat Kings [WHL],91.0,2.0,18.0,20.0,50.0,2022-23
2.0,52.0,Philadelphia,Wade Allison,R,Tri-City Storm [USHL],75.0,13.0,9.0,22.0,40.0,2022-23
2.0,53.0,Detroit,Filip Hronek,D,Hradec Kralove [Czech],310.0,30.0,129.0,159.0,162.0,2023-24
2.0,54.0,Calgary,Tyler Parsons,G,London Knights [OHL],,,,,,
